,md,incl,azi,TVD,TVDSS,VSEC,NS,EW,DLS,BR,TR,Northing,Easting,Latitude,Longitude
0,0.0,0.006206896564,306.4,-0.000238505539,-113.000238505539,-0.000100035045,N 0.00,W 0.00,0.124137931034,0.124137931034,0.0,9245663.26704898,673442.859933559,S     6 49 18.64,E 112 34 10.32
1,139.999999990217,0.18,306.4,139.999522979136,26.999522979136,-0.084129403134,N 0.14,W 0.18,0.124137931035,0.124137931035,0.0,9245663.3081957,673442.804123519,S     6 49 18.64,E 112 34 10.32
2,234.999999990217,0.35,239.42,234.998657055893,121.998657055893,0.067008537147,N 0.08,W 0.55,0.342108588668,0.178947368421,-70.505263157895,9245663.29019384,673442.691376442,S     6 49 18.64,E 112 34 10.32
3,356.999999990217,2.08,343.59,356.972206306126,243.972206306126,-1.563412776028,N 2.01,W 1.50,1.796798685854,1.418032786885,85.385245901639,9245663.87980278,673442.40292562,S     6 49 18.62,E 112 34 10.31
4,450.999999990217,3.86,343.04,450.842172305833,337.842172305833,-5.716340732275,N 6.67,W 2.90,1.893837908269,1.893617021277,-0.585106382979,9245665.30108284,673441.974699709,S     6 49 18.58,E 112 34 10.30
5,543.999999990217,4.31,345.31,543.605725671375,430.605725671374,-11.424314785548,N 13.05,W 4.70,0.514071144859,0.483870967742,2.440860215054,9245667.24400396,673441.42627865,S     6 49 18.51,E 112 34 10.28
6,638.999999990217,4.15,341.55,638.347099083365,525.347099083365,-17.411175913273,N 19.76,W 6.70,0.336944119566,-0.168421052632,-3.957894736842,9245669.29033588,673440.818787134,S     6 49 18.45,E 112 34 10.26
7,733.999999990217,6.14,345.83,732.959923272513,619.959923272513,-24.737268365437,N 27.95,W 9.03,2.131898265257,2.094736842105,4.505263157895,9245671.78583941,673440.108064178,S     6 49 18.36,E 112 34 10.23
8,828.999999990217,8.45,348.63,827.184861238599,714.184861238599,-35.45539689032,N 39.72,W 11.65,2.459496020689,2.431578947368,2.947368421053,9245675.37339732,673439.309471476,S     6 49 18.25,E 112 34 10.21
9,881.999999990217,8.76,352.11,879.588554121321,766.588554121321,-42.678221830411,N 47.54,W 12.97,1.143094661717,0.584905660377,6.566037735849,9245677.7554536,673438.906624534,S     6 49 18.17,E 112 34 10.19
10,948.103713789012,9.366499900818,358.032989501953,944.86810115419,831.86810115419,-52.477749948535,N 57.90,W 13.85,1.682271467735,0.917497468696,8.96014635423,9245680.91380315,673438.639736456,S     6 49 18.07,E 112 34 10.19
11,972.0,8.84,358.59,968.463331306402,855.463331306402,-56.104232131786,N 61.68,W 13.96,2.233896568391,-2.203270818608,2.330950061147,9245682.06561489,673438.605622077,S     6 49 18.03,E 112 34 10.18
12,1067.43,7.03,350.64,1062.97853773665,949.97853773665,-68.480952428586,N 74.77,W 15.09,2.213787862201,-1.89667819344,-8.330713612072,9245686.05653763,673438.261107939,S     6 49 17.90,E 112 34 10.17
13,1161.91,7.94,341.6,1156.65576799934,1043.65576799934,-79.225058601862,N 86.67,W 18.09,1.572377621494,0.96316680779,-9.56816257409,9245689.68272832,673437.346653194,S     6 49 17.78,E 112 34 10.14
14,1257.63,8.51,333.37,1251.39411642325,1138.39411642325,-90.078794792434,N 99.27,W 23.35,1.365007330088,0.595486836607,-8.597994149603,9245693.52458335,673435.742968922,S     6 49 17.66,E 112 34 10.09
15,1353.22,8.52,327.89,1345.93201930759,1232.93201930759,-100.23247291712,N 111.59,W 30.28,0.848596591271,0.010461345329,-5.732817240297,9245697.27979164,673433.629469594,S     6 49 17.53,E 112 34 10.02
16,1446.71,9.59,325.75,1438.25584397006,1325.25584397006,-110.082513095823,N 123.90,W 38.35,1.199672457816,1.14450743395,-2.2890148679,9245701.02982556,673431.171522627,S     6 49 17.41,E 112 34   9.94
